,g0,eMax,eLen,eList,fid,fidnum,fid2
88,0.0769230769230769,6,14,"[3.43890405, 3.47126519, 0.66021314, 3.21543406, 2.69307114, 0.95287576, 2.86121012, 2.3868275, 1.28003489, 3.53758717, 3.64743307, 3.10269474, 4.16699213, 3.79575526]",0.999986646128428,0.665794579900251,0.9999431994296046
89,0.0769230769230769,8,14,"[0.0, 5.76187523, 1.95178084, 4.65392159, 3.85087708, 0.0, 2.26650007, 3.86994715, 3.969765, 5.08231125, 0.0, 4.20251741, 4.07585387, 0.0]",0.9971050940541576,0.1898308334950783,0.996980658631379
90,0.0769230769230769,10,14,"[3.12849099, 3.57410414, 3.46863073, 6.7560521, 4.12507703, 6.33787769, 0.93925181, 0.0, 2.28141629, 7.07955375, 3.85820417, 5.02616974, 0.0, 0.0]",0.9609532090294962,0.0912030955034418,0.960522491504825
91,0.0769230769230769,2,15,"[0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.4370916, 2.0, 2.0, 2.0, 1.54615796, 0.0]",0.6556476027792626,0.6435821682602976,0.657157926371354
92,0.0769230769230769,3,15,"[0.0, 3.0, 3.0, 3.0, 1.65480827, 0.0, 0.0, 0.0, 1.223238, 2.14598059, 3.0, 3.0, 2.41392714, 1.64841355, 0.0]",0.999569324674344,0.920946697095948,0.9996561507085799
93,0.0769230769230769,4,15,"[0.674783, 1.98725721, 2.77445101, 3.37351876, 3.15248317, 2.86872136, 1.69225217, 0.9479075, 0.4195115, 1.69867812, 1.5718756, 2.95950184, 3.08234397, 2.57322173, 0.13098301]",0.9999996115404582,0.8958942508354197,0.9999628845288581
94,0.0769230769230769,5,15,"[0.64460682, 0.47055335, 0.19589962, 2.94900019, 2.57041847, 2.44196132, 0.0, 0.0, 0.0, 0.0, 0.0, 0.61413938, 3.519636, 3.5151584, 2.87628256]",0.9999840811967484,0.8724423430950615,0.9999478277315985
95,0.0769230769230769,6,15,"[5.07483191, 5.2139513, 5.1251603, 4.05192185, 2.01428393, 2.35714958, 0.5546389, 2.59299996, 2.98582865, 1.70021994, 1.74596612, 4.83016986, 4.22061646, 3.93147332, 2.43493165]",0.9999967478175,0.2135012340988059,0.999787094128999
96,0.0769230769230769,8,15,"[3.60440593, 5.44574093, 4.89788438, 5.52192329, 4.14934123, 4.88034572, 5.25414808, 3.83198761, 4.27953288, 4.49052396, 6.86153058, 2.81511124, 0.01079702, 0.51044259, 1.98984824]",0.9999900940425656,0.0978924174321875,0.9996994288574355
97,0.0769230769230769,10,15,"[9.91105527, 3.55360091, 3.61382756, 5.37748088, 5.94211522, 9.03089865, 0.0, 7.00874622, 8.02824141, 0.0, 3.84867593, 2.41933918, 4.18053044, 4.99830304, 6.83318756]",0.9783897038570598,0.0830926129046416,0.8681097471616214
98,0.0769230769230769,2,16,"[0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.4374418, 2.0, 2.0, 2.0, 1.54598481, 0.0]",0.6556476008220861,0.6435838708145348,0.6571579159174263
99,0.0769230769230769,3,16,"[0.0, 0.0, 0.0, 3.0, 3.0, 3.0, 1.65466943, 0.000980893841, 0.0, 0.0, 1.22437095, 2.14687722, 3.0, 3.0, 2.41400326, 1.64928277]",0.9995693272894433,0.9209162430074496,0.999656260604779
100,0.0769230769230769,4,16,"[0.83093504, 0.0, 0.0, 2.10521188, 3.46665956, 2.77389036, 0.22988597, 0.1306046, 0.86739215, 0.16249172, 1.21165408, 2.85668221, 3.247835, 3.24689537, 2.85721714, 2.3522673]",0.999999527346534,0.8834627194070871,0.9999684735853408
101,0.0769230769230769,5,16,"[2.79600344, 0.11515814, 1.57825606, 2.55541797, 1.33592394, 3.34732068, 1.76514571, 0.08670706, 2.42573766, 0.0, 4.16343961, 2.13159645, 4.3383699, 4.40993962, 2.8922303, 0.0]",0.9999931832954094,0.7238673427335083,0.9999530929520806
102,0.0769230769230769,6,16,"[4.56887076, 3.95904575, 3.63500962, 1.33673201, 2.24299648, 2.81424596, 3.20708977, 2.86220916, 3.65182973, 1.4741142, 2.56716599, 3.66116189, 4.00762147, 1.61299983, 0.0, 0.0]",0.9999768360934814,0.5657512909495306,0.9999296497119134
103,0.0769230769230769,8,16,"[6.95550916, 7.30531338, 5.3267517, 5.00584695, 6.46910491, 4.63823041, 4.56043631, 6.76605801, 5.25848369, 3.59913662, 1.52251371, 7.09347373, 6.41397271, 2.72012103, 3.57387608, 1.6436082]",0.9989161850689426,0.0953340793702641,0.9973615610767964
104,0.0769230769230769,10,16,"[2.39924823, 6.75598692, 4.00655388, 9.80934102, 3.52301914, 4.57531188, 4.77755401, 2.37145202, 8.89729571, 1.62688372, 0.0, 3.94428647, 4.86795884, 0.06464267, 2.53222917, 4.26132601]",0.9849751341544676,0.0944698142796192,0.7393843619734184
105,0.0384615384615384,2,2,"[2.0, 2.0]",0.0693343496941119,0.0700516244353666,0.06938507029052032
106,0.0384615384615384,3,2,"[3.0, 3.0]",0.1527074511617436,0.1540028332326278,0.15281435434740276
107,0.0384615384615384,4,2,"[4.0, 4.0]",0.2565587278982683,0.2579761438885146,0.25671732185056495
108,0.0384615384615384,5,2,"[5.0, 5.0]",0.3575047171806047,0.3583544053295766,0.35766913451958415
109,0.0384615384615384,6,2,"[6.0, 6.0]",0.4250829030280871,0.4253653657834384,0.42517694437021003
110,0.0384615384615384,8,2,"[8.0, 5.26645491]",0.4427223806301392,0.4370308672516362,0.44272419998355184
111,0.0384615384615384,10,2,"[8.55812538, 4.38244229]",0.4429885989097298,0.429670844893797,0.4429881123116697
112,0.0384615384615384,2,3,"[2.0, 2.0, 2.0]",0.1026903248527384,0.1037229470553359,0.10276461368599465
113,0.0384615384615384,3,3,"[3.0, 3.0, 3.0]",0.2212074931568557,0.2229320477482702,0.22135326902896146
